day,hour,spends,transactions,items
2010-02-20,9,462.52000000000015,3,77
2010-02-20,10,327.71,5,73
2010-02-20,12,40.73,1,11
2010-02-20,13,165.64000000000007,3,57
2010-02-20,14,46.120000000000005,1,11
2010-02-20,15,168.74000000000012,2,42
2010-02-20,16,44.62,1,7
2010-02-20,17,112.6,5,24
2010-02-20,18,80.49000000000001,3,30
2010-02-20,19,70.04,3,24
2010-02-20,20,68.71000000000001,1,17
2010-02-21,10,236.6,3,51
2010-02-21,11,246.47000000000014,5,65
2010-02-21,12,103.25999999999999,2,25
2010-02-21,13,76.49999999999999,2,20
2010-02-21,14,200.68000000000004,3,56
2010-02-21,15,137.38,1,40
2010-02-21,16,62.96000000000001,1,9
2010-02-21,17,150.82,3,42
2010-02-21,18,18.86,1,5
2010-02-21,19,73.29,2,27
2010-02-21,20,16.18,2,6
2010-02-22,12,11.680000000000001,1,5
2010-02-22,13,39.24,3,14
2010-02-22,14,13.360000000000003,1,5
2010-02-22,15,161.42000000000002,3,56
2010-02-22,16,55.43,2,15
2010-02-22,17,91.00999999999999,3,32
2010-02-22,19,212.9400000000001,3,57
2010-02-23,11,72.86,3,18
2010-02-23,12,10.72,1,3
2010-02-23,14,224.63000000000005,3,58
2010-02-23,15,241.77000000000012,6,74
2010-02-23,17,1.5999999999999999,1,2
2010-02-23,18,26.54,2,15
2010-02-23,20,3.89,1,1
2010-02-24,9,40.1,2,9
2010-02-24,11,171.54,3,46
2010-02-24,12,17.34,1,6
2010-02-24,14,54.61000000000001,2,11
2010-02-24,15,8.77,1,2
2010-02-24,16,79.96,2,22
2010-02-24,17,32.9,3,13
2010-02-24,18,90.08999999999996,4,45
2010-02-24,19,3.99,1,1
2010-02-24,20,17.730000000000004,1,8
2010-02-25,11,95.39999999999998,3,26
2010-02-25,12,82.45999999999998,4,16
2010-02-25,13,20.88,1,10
2010-02-25,14,98.55000000000001,2,32
2010-02-25,15,93.30999999999999,2,29
2010-02-25,16,74.27000000000001,1,36
2010-02-25,17,35.71999999999999,2,21
2010-02-25,19,40.28,2,10
2010-02-25,20,17.65,1,5
2010-02-25,21,71.87,4,29
2010-02-26,9,47.84,1,13
2010-02-26,10,114.19999999999996,1,26
2010-02-26,11,208.3300000000001,7,56
2010-02-26,12,185.25,4,57
2010-02-26,14,47.759999999999984,1,14
2010-02-26,15,14.969999999999999,1,3
2010-02-26,16,211.28,1,50
2010-02-26,18,253.8,1,14
2010-02-26,19,31.01,2,7
2010-02-26,21,52.36000000000001,2,27
2010-02-27,9,16.71,1,10
2010-02-27,10,214.69000000000003,2,36
2010-02-27,12,33.800000000000004,3,9
2010-02-27,13,8.07,1,3
2010-02-27,14,53.69000000000002,1,18
2010-02-27,15,269.79999999999995,5,78
2010-02-27,16,202.18,2,64
2010-02-27,17,110.72999999999998,3,37
2010-02-27,18,2.21,1,2
2010-02-28,9,77.74000000000004,1,21
2010-02-28,11,131.29999999999995,2,35
2010-02-28,12,73.51,1,14
